Team;Elo;Date
Genoa;1565,25647;2021-10-23
Spezia;1507,206787;2021-10-23
Milan;1807,092407;2021-10-24
Juventus;1838,476685;2021-10-24
Napoli;1815,307983;2021-10-24
Roma;1714,223877;2021-10-24
Lazio;1709,902466;2021-10-24
Sassuolo;1664,939087;2021-10-24
Fiorentina;1620,949951;2021-10-24
Bologna;1589,973511;2021-10-24
Empoli;1542,334106;2021-10-24
Venezia;1480,569824;2021-10-24
Salernitana;1441,209595;2021-10-24
Milan;1807,092407;2021-10-25
Juventus;1840,509399;2021-10-25
Internazionale;1862,030518;2021-10-25
Atalanta;1801,501953;2021-10-25
Napoli;1813,736572;2021-10-25
Roma;1715,795166;2021-10-25
Lazio;1692,126953;2021-10-25
Sassuolo;1664,939087;2021-10-25
Fiorentina;1630,053711;2021-10-25
Hellas Verona;1591,301147;2021-10-25
Udinese;1584,15686;2021-10-25
Cagliari;1544,956909;2021-10-25
Lazio;1692,126953;2021-10-26
Fiorentina;1630,053711;2021-10-26
Sampdoria;1617,530762;2021-10-26
Milan;1809,46936;2021-10-27
Torino;1580,355469;2021-10-27
Genoa;1564,954346;2021-10-27
Spezia;1507,508911;2021-10-27
Venezia;1470,151978;2021-10-27
Salernitana;1451,627319;2021-10-27
Juventus;1827,207397;2021-10-28
Internazionale;1865,300293;2021-10-28
Atalanta;1807,934448;2021-10-28
Roma;1720,606689;2021-10-28
Lazio;1697,376465;2021-10-28
Sassuolo;1678,241089;2021-10-28
Fiorentina;1624,804199;2021-10-28
Hellas Verona;1592,442505;2021-10-28
Udinese;1583,015625;2021-10-28
Sampdoria;1611,098267;2021-10-28
Cagliari;1540,145386;2021-10-28
Empoli;1539,064331;2021-10-28
Napoli;1817,845581;2021-10-29
Lazio;1697,376465;2021-10-29
Bologna;1585,864502;2021-10-29
Roma;1720,606689;2021-10-30
Sampdoria;1611,098267;2021-10-30
Juventus;1814,396118;2021-10-31
Atalanta;1803,759399;2021-10-31
Napoli;1817,845581;2021-10-31
Roma;1720,606689;2021-10-31
Lazio;1701,551514;2021-10-31
Fiorentina;1624,804199;2021-10-31
Hellas Verona;1605,253662;2021-10-31
Torino;1593,650757;2021-10-31
Sampdoria;1597,802979;2021-10-31
Milan;1816,263184;2021-11-01
Juventus;1814,396118;2021-11-01
Internazionale;1867,851074;2021-11-01
Napoli;1819,667114;2021-11-01
Roma;1713,812866;2021-11-01
Sassuolo;1665,863037;2021-11-01
Fiorentina;1631,996704;2021-11-01
Hellas Verona;1605,253662;2021-11-01
Udinese;1580,464844;2021-11-01
Sampdoria;1597,802979;2021-11-01
Empoli;1551,442383;2021-11-01
Genoa;1561,120117;2021-11-01
Spezia;1500,316406;2021-11-01
Venezia;1473,986206;2021-11-01
Salernitana;1449,805908;2021-11-01
Sassuolo;1665,863037;2021-11-02
Bologna;1593,848145;2021-11-02
Cagliari;1532,161621;2021-11-02
Milan;1818,029419;2021-11-03
Juventus;1820,59436;2021-11-03
Internazionale;1869,617432;2021-11-03
Atalanta;1806,244995;2021-11-03
Napoli;1821,433472;2021-11-03
Roma;1715,579224;2021-11-03
Lazio;1703,317749;2021-11-03
Sassuolo;1667,629272;2021-11-03
Fiorentina;1633,763062;2021-11-03
Hellas Verona;1607,02002;2021-11-03
Udinese;1582,231201;2021-11-03
Torino;1595,417114;2021-11-03
Sampdoria;1599,569214;2021-11-03
Bologna;1595,614502;2021-11-03
Cagliari;1533,927979;2021-11-03
Empoli;1553,20874;2021-11-03
Genoa;1562,886475;2021-11-03
Spezia;1502,082764;2021-11-03
Venezia;1475,752441;2021-11-03
Salernitana;1451,572266;2021-11-03
Milan;1816,159424;2021-11-04
Juventus;1820,822144;2021-11-04
Internazionale;1872,610962;2021-11-04
Atalanta;1806,472778;2021-11-04
Napoli;1821,661255;2021-11-04
